_id,Czas_Rejestracji,Liczba_Wolnych_Miejsc,Liczba_Poj_Wjezdzajacych,Liczba_Poj_Wyjezdzajacych,Nazwa
1,2018-11-29 00:00:00.013000,271,0,0,Nowy Targ
2,2018-11-29 00:00:01.283000,789,0,1,Parking Hala Stulecia
3,2018-11-29 00:00:01.457000,124,0,0,ul. św. Antoniego
4,2018-11-29 00:04:59,584,0,0,Narodowe Forum Muzyki
5,2018-11-29 00:05:00.010000,271,1,1,Nowy Targ
6,2018-11-29 00:05:01.430000,124,0,0,ul. św. Antoniego
7,2018-11-29 00:05:02.010000,789,0,0,Parking Hala Stulecia
8,2018-11-29 00:09:59,585,0,1,Narodowe Forum Muzyki
9,2018-11-29 00:10:00.010000,271,0,0,Nowy Targ
10,2018-11-29 00:10:01.800000,124,0,0,ul. św. Antoniego
11,2018-11-29 00:10:01.963000,789,0,0,Parking Hala Stulecia
12,2018-11-29 00:15:00,585,0,0,Narodowe Forum Muzyki
13,2018-11-29 00:15:00.010000,271,0,0,Nowy Targ
14,2018-11-29 00:15:01.337000,124,0,0,ul. św. Antoniego
15,2018-11-29 00:15:01.503000,789,0,0,Parking Hala Stulecia
16,2018-11-29 00:19:59,585,0,0,Narodowe Forum Muzyki
17,2018-11-29 00:20:00.013000,272,0,0,Nowy Targ
18,2018-11-29 00:20:01.860000,124,0,0,ul. św. Antoniego
19,2018-11-29 00:20:02.047000,789,0,0,Parking Hala Stulecia
20,2018-11-29 00:25:00,586,0,1,Narodowe Forum Muzyki
21,2018-11-29 00:25:00.013000,272,0,0,Nowy Targ
22,2018-11-29 00:25:01.360000,789,0,0,Parking Hala Stulecia
23,2018-11-29 00:25:01.593000,124,0,0,ul. św. Antoniego
24,2018-11-29 00:30:00,586,0,0,Narodowe Forum Muzyki
25,2018-11-29 00:30:00.013000,272,0,0,Nowy Targ
26,2018-11-29 00:30:01.403000,124,0,0,ul. św. Antoniego
27,2018-11-29 00:30:01.627000,789,0,0,Parking Hala Stulecia
28,2018-11-29 00:35:00,586,0,0,Narodowe Forum Muzyki
